Date,PTTEP.BK_forecast,PTTEP.BK
2020-06-26,88.21079458411509,88.86618041992188
2020-06-29,87.58283620258227,87.66529846191406
2020-06-30,88.39017525228077,88.1456527709961
2020-07-01,88.1707912500419,91.74832916259766
2020-07-02,88.82491804870651,91.98851013183594
2020-07-03,90.23089076270068,91.5081558227539
2020-07-07,92.58203224214954,91.74832916259766
2020-07-08,92.39225293709534,89.10636138916016
2020-07-09,92.50299811826378,88.86618041992188
2020-07-10,92.12421801610864,87.42511749267578
2020-07-13,90.47279583851173,88.1456527709961
2020-07-14,91.29092092062996,88.86618041992188
2020-07-15,92.06485779233648,91.5081558227539
2020-07-16,91.9404445457936,89.82689666748047
2020-07-17,91.84653019846218,90.30725860595703
2020-07-20,92.36350464699038,90.06707763671875
2020-07-21,92.46779409228448,92.70905303955078
2020-07-22,92.44132171020884,90.30725860595703
