Date,CPF.BK_forecast,Forcast,Actuals
2020-06-17,30.110078582187878,31.379517374794705,30.597301755632675
2020-06-18,30.15902225524488,31.299916878772898,30.385555812290736
2020-06-19,30.221649867273843,31.21679091763266,30.385555812290736
2020-06-22,30.551472685722576,31.152677117080867,30.63259288242885
2020-06-23,30.874781370559397,31.100915864261538,30.809047971452987
2020-06-24,31.178677772523056,31.045078595472642,30.950211933680944
2020-06-25,31.421039214865253,30.96972034072859,31.16195787702288
2020-06-26,31.630333081802004,30.99002666796341,31.197248731340682
2020-06-29,31.766281683916198,30.996241960796148,31.26783071245466
2020-06-30,31.875311822120846,31.002139914404165,31.232539585658483
2020-07-01,31.795004252037014,31.01194968856199,31.161957332066127
2020-07-02,31.7459439105194,31.025529867708922,31.09137535095215
2020-07-07,31.71110977854234,30.9584815251153,31.161957332066127
2020-07-08,31.659809780878792,31.066997330751203,31.267830439976283
2020-07-09,31.606147608205255,31.283957444841604,31.444285529000418
2020-07-10,31.52231622852396,31.381941061581387,31.444285529000418
2020-07-13,31.41374296179848,31.463813002757547,31.726613453456334
2020-07-14,31.64220297559885,31.56320987293166,31.973650523594447
2020-07-15,31.86078359896893,31.640400440299487,32.39714241027832
2020-07-16,32.0617199244605,31.761277815394212,32.64417920793806
2020-07-17,32.304888750763425,31.978112978574526,32.926507404872346
2020-07-20,32.55084991832988,32.21853973064375,33.27941731044224
2020-07-21,32.846862925077914,32.44699713280765,33.66761834280832
2020-07-22,33.168977648992175,32.671055315655146,33.73820059640067
2020-07-23,33.309017564424984,32.866929625353194,33.73820059640067
2020-07-24,33.509217740770296,33.06748373005747,33.52645492553711
2020-07-29,33.73852394750886,33.30234836228244,33.52645492553711
2020-07-30,33.966229482288654,33.23824020030962,33.42058181762695
2020-07-31,34.13715413532957,33.18041251314249,33.3147087097168
2020-08-03,34.28199345263656,33.116893695444155,33.10296303885324
2020-08-04,34.42207424632215,33.0681069058058,32.961799076625276
2020-08-05,34.2339190932608,33.03034421469336,32.926508222307476
2020-08-06,34.00405168661397,32.995279019762634,32.926508222307476
2020-08-07,33.75806836447159,32.92489602156309,32.75005340576172
2020-08-10,33.485078314207996,32.86929331765956,32.71476255144392
2020-08-11,33.275181408629656,32.79937223184967,32.57359858921596
2020-08-13,33.07483511108397,32.731532232767925,32.60888944353376
2020-08-14,32.88337454230519,32.67094908482722,32.57359858921596
2020-08-17,32.856357628658586,32.621373345218664,32.57359858921596
2020-08-18,32.82079541315109,32.56387382334789,32.67947115216936
2020-08-19,32.804141443862314,32.500694222560696,32.78534426007952
2020-08-20,32.76924251469975,32.55041791848156,32.78534426007952
2020-08-21,32.720452933239045,32.59289491270355,32.855926513671875
2020-08-24,32.67012426043906,32.63700709482833,32.926508222307476
2020-08-25,32.60913177272306,32.6777983794799,32.99708993094308
2020-08-26,32.68113386894121,32.71227535785194,33.067671639578684
2020-08-27,32.74013806669108,32.742438372221656,33.067671639578684
2020-08-28,32.784573613768636,32.794841520871515,33.195396423339844
2020-08-29,32.94696234204658,32.797310316289995,
2020-08-30,33.10310227505217,32.79857786884361,
2020-08-31,33.247296652103486,32.80012915469125,
2020-09-01,33.40210172104586,32.80113733261201,
2020-09-02,33.49510564354433,32.80216851593498,
2020-09-03,33.5963233274314,32.80253660237048,
2020-09-04,33.71179224751402,32.80499163965626,
