Date,TVO.BK_forecast,TVO.BK
2020-07-10,28.390694999949815,28.5
2020-07-13,28.414883987131695,28.25
2020-07-14,28.425106340822225,27.75
2020-07-15,28.47795798164406,28.5
2020-07-16,28.518793895499147,28.0
2020-07-17,28.478073781656054,29.0
2020-07-20,28.482013830016545,28.5
2020-07-21,28.463489004189828,28.5
2020-07-22,28.53412984300451,28.25
2020-07-23,28.523493154402992,28.75
2020-07-24,28.563014079783528,28.5
2020-07-29,28.42428168529779,29.0
2020-07-30,28.498266514271624,28.75
2020-07-31,28.51470999027536,29.25
2020-08-03,28.51927488573389,29.75
2020-08-04,28.48783109199045,29.25
2020-08-05,28.522177932522663,29.25
2020-08-06,28.51587418266313,29.5
2020-08-07,29.592262383625243,28.0
2020-08-10,29.512385192200245,28.5
2020-08-11,29.493157135319837,27.5
