Date,SCC.BK_forecast,SCC.BK
2020-03-09,300.388731856399,299.9186706542969
2020-03-10,299.387909872688,303.77618408203125
2020-03-11,301.1244404575316,300.883056640625
2020-03-12,302.6022323164765,269.05889892578125
2020-03-13,301.6902698778966,273.8807373046875
2020-03-16,299.9224508248999,257.4864807128906
2020-03-17,300.10102600278856,262.3083190917969
2020-03-18,299.7562031851803,264.237060546875
2020-03-19,300.46677018616697,266.165771484375
2020-03-20,300.99681121044335,304.74053955078125
2020-03-23,304.15358490158155,274.8450927734375
2020-03-24,306.8504552115398,278.70257568359375
2020-03-25,307.26055793777283,301.8474426269531
2020-03-26,309.7448127589923,311.4911193847656
2020-03-27,309.1083705615987,308.5980224609375
2020-03-30,309.20994393649795,300.883056640625
2020-03-31,308.2513281189107,312.4554748535156
2020-04-01,311.5644555398371,306.6692810058594
2020-04-02,309.4323505810398,304.74053955078125
2020-04-03,310.7608551725364,301.8474426269531
2020-04-07,309.85266249334455,317.27734375
2020-04-08,308.8763513269251,317.27734375
2020-04-09,307.2138219813784,315.3066711425781
2020-04-10,306.9362969990309,319.24798583984375
2020-04-13,319.0352716978474,316.2919921875
2020-04-14,320.43591241369296,318.2626647949219
2020-04-15,319.39619532459403,318.2626647949219
2020-04-16,320.67123631386545,309.3946533203125
2020-04-17,317.5722353046896,322.2040100097656
2020-04-20,317.2625751178538,317.27734375
2020-04-21,315.75958015097456,314.3213195800781
2020-04-22,311.57931625858834,323.1893310546875
2020-04-23,310.5987678538198,321.2186584472656
2020-04-24,311.2381726337002,318.2626647949219
2020-04-27,311.10921312488574,325.1600036621094
2020-04-28,311.66107432322156,334.0279846191406
2020-04-29,311.45768093830213,335.0133361816406
2020-04-30,311.31484391998504,340.9253234863281
2020-05-05,338.4122820125923,333.04266357421875
2020-05-07,338.51568251730015,327.13067626953125
2020-05-08,338.0268651069203,331.0719909667969
2020-05-11,336.6787584748329,334.0279846191406
2020-05-12,336.96302454499,336.9840087890625
2020-05-13,334.75187192025476,335.0133361816406
2020-05-14,334.1542595197546,335.9986572265625
2020-05-15,335.03034094199165,331.0719909667969
2020-05-18,335.27857034840025,334.0279846191406
2020-05-19,336.9377275909051,339.94000244140625
2020-05-20,337.71893646874867,341.9106750488281
2020-05-21,337.48520544050825,340.9253234863281
2020-05-22,337.15833659004267,335.9986572265625
2020-05-25,336.80795334593523,337.9693298339844
2020-05-26,338.20014174361063,336.9840087890625
2020-05-27,338.0232339868473,335.9986572265625
2020-05-28,336.65018771484404,328.1159973144531
2020-05-29,339.5914857490839,337.9693298339844
2020-06-01,339.0371009084444,335.9986572265625
2020-06-02,338.77266439461846,347.8226623535156
2020-06-04,338.77563373255794,354.7200012207031
2020-06-05,352.1681960341565,362.6026611328125
2020-06-08,351.61829780112504,357.6759948730469
2020-06-09,353.13716890373394,361.6173400878906
2020-06-10,354.4331672310041,366.54400634765625
2020-06-11,355.4858607758366,358.66131591796875
2020-06-12,353.3423876652356,352.74932861328125
2020-06-15,351.4354153869845,349.7933349609375
2020-06-16,347.30902594870867,355.705322265625
2020-06-17,348.1585620414796,358.66131591796875
2020-06-18,347.4375999129075,355.705322265625
2020-06-19,347.3309936233812,352.74932861328125
2020-06-22,344.9151275149442,350.7786560058594
2020-06-23,346.86967465176514,353.7346496582031
2020-06-24,348.0412565524195,347.8226623535156
2020-06-25,349.62622001735474,355.705322265625
2020-06-26,350.2013888825825,362.6026611328125
2020-06-29,350.30933962388366,359.64666748046875
2020-06-30,349.44346710193525,362.6026611328125
2020-07-01,349.2243471178951,366.54400634765625
2020-07-02,349.59102058052366,384.2799987792969
2020-07-03,349.63526066360583,384.2799987792969
2020-07-07,383.91895777277114,374.4266662597656
2020-07-08,382.12929843343437,373.4413146972656
2020-07-09,381.21901582575,376.3973388671875
2020-07-10,381.53033797489246,377.3826599121094
2020-07-13,381.2929592017698,375.4119873046875
2020-07-14,380.40093468696693,378.36798095703125
2020-07-15,380.35151896278035,380.3386535644531
2020-07-16,378.38242265308014,379.35333251953125
2020-07-17,378.8758949755703,379.35333251953125
2020-07-20,378.5831558130486,384.2799987792969
2020-07-21,378.1603936373718,384.2799987792969
2020-07-22,376.66543049306415,381.3240051269531
2020-07-23,375.53157315921203,382.309326171875
