Date,CPF.BK_forecast,CPF.BK
2020-07-02,31.238852731605864,31.62074089050293
2020-07-07,31.718277208172793,31.62074089050293
2020-07-08,31.74925083986124,31.62074089050293
2020-07-09,31.54024134378859,31.62074089050293
2020-07-10,31.348366563107646,31.373703002929688
2020-07-13,31.080788319071004,33.349998474121094
2020-07-14,33.088751777536466,33.102962493896484
2020-07-15,33.09480343235679,34.09111022949219
2020-07-16,33.816175686498426,33.349998474121094
2020-07-17,33.29139165859399,33.59703826904297
2020-07-20,33.76493124520846,34.09111022949219
2020-07-21,34.07204269319338,34.09111022949219
2020-07-22,34.19231952035316,33.84407424926758
2020-07-23,34.055219484378426,33.102962493896484
2020-07-24,33.66043200594772,32.608890533447266
2020-07-29,32.83348132952375,33.349998474121094
2020-07-30,33.50318583653388,32.855926513671875
2020-07-31,32.52000073127131,33.349998474121094
